No_,No_ 2,Description,Search Description,Description 2,Base Unit of Measure,Price Unit Conversion,Type,Inventory Posting Group,Shelf No_,Item Disc_ Group,Allow Invoice Disc_,Statistics Group,Commission Group,Unit Price,Price_Profit Calculation,Profit _,Costing Method,Unit Cost,Standard Cost,Quoted Price(INR),Quoted Price(FCY),Quoted Currency,Standard Cost_,Production BOM No_
700536-2,,"RoHS,Security Tape","RoHS,Security Tape",,EA,120,0,RM,S007,D654,1,G1,C1,428,478,50,UC,3076,3076,44,31,INR,83,
121969,,"RoHS,Label, 5 X 2 inch blank","RoHS,Label, 5 X 2 inch blank",,EA,120,0,PM,S010,D666,1,G1,C1,275,325,50,UC,3697,3697,7,50,INR,87,
119852,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,PM,S001,D655,1,G1,C1,340,390,50,UC,3582,3572,23,42,INR,99,1000457-SMT
127229,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,PM,S001,D666,1,G1,C1,705,755,50,UC,3326,3226,20,22,INR,83,1000457-SMT
102565,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,PM,S002,D654,1,G1,C1,568,618,50,UC,3714,3714,15,41,USD,84,1000456-SMT
111742,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,CN,S005,D667,1,G1,C1,368,418,50,UC,2582,2583,56,1,INR,90,1000456-SMT
133133,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,RM,S004,D655,1,G1,C1,348,398,50,UC,2727,2507,45,5,USD,84,1000457-SMT
138872,,OTCT-325*193*227MM-200PCS SODIMM-Y,OTCT-325*193*227MM-200PCS SODIMM-Y,,EA,120,0,RM,S009,D655,1,G1,C1,684,734,50,UC,3462,3406,46,42,INR,80,
102671,,"RoHS,Label, 5 X 2 inch blank","RoHS,Label, 5 X 2 inch blank",,EA,120,0,RM,S001,D668,1,G1,C1,577,627,50,UC,2838,2835,36,17,INR,93,1000457-SMT
137963,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,CN,S001,D667,1,G1,C1,695,745,50,UC,2835,2815,39,18,USD,90,1000456-SMT
133133,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,CN,S004,D666,1,G1,C1,382,432,50,UC,3589,3581,38,10,INR,91,1000456-SMT
111071,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,RM,S005,D668,1,G1,C1,644,694,50,UC,2815,2835,1,25,INR,75,
700536-3,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,,EA,120,0,CN,S005,D667,1,G1,C1,465,515,50,UC,3855,3855,23,18,USD,79,
119852,,"RoHS,SCM1G8Z41CD8SA-062E","RoHS,SCM1G8Z41CD8SA-062E",,EA,120,0,PM,S002,D654,1,G1,C1,630,680,50,UC,3274,3277,32,8,INR,80,1000457-SMT
108259,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,PM,S004,D667,1,G1,C1,507,557,50,UC,2502,2506,26,45,INR,96,1000456-SMT
108259,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,PM,S008,D668,1,G1,C1,678,728,50,UC,2557,2547,24,11,USD,86,1000457-SMT
1000457,,OTCT-325*193*227MM-200PCS SODIMM-Y,OTCT-325*193*227MM-200PCS SODIMM-Y,,EA,120,0,RM,S007,D668,1,G1,C1,737,787,50,UC,2756,2756,41,37,USD,81,1000456-SMT
145340,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,CN,S005,D655,1,G1,C1,548,598,50,UC,3478,3472,27,3,USD,92,1000456-SMT
119027,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,PM,S010,D655,1,G1,C1,615,665,50,UC,3917,3905,34,26,USD,97,
119852,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,RM,S007,D654,1,G1,C1,273,323,50,UC,3281,3234,50,5,INR,77,1000457-SMT
102565,,"RoHS,Label, 5 X 2 inch blank","RoHS,Label, 5 X 2 inch blank",,EA,120,0,CN,S002,D654,1,G1,C1,662,712,50,UC,2793,2874,33,52,USD,76,1000456-SMT
119852,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,RM,S005,D667,1,G1,C1,370,420,50,UC,3812,3862,19,1,USD,90,1000456-SMT
114717,,"RoHS,Security Tape","RoHS,Security Tape",,EA,120,0,PM,S001,D666,1,G1,C1,580,630,50,UC,3963,3919,16,33,INR,96,
137963,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,RM,S006,D667,1,G1,C1,452,502,50,UC,3221,3224,9,12,INR,80,1000456-SMT
700536-4,,OTCT-377*192*309MM-200PCS DIMM-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,RM,S010,D655,1,G1,C1,720,770,50,UC,3018,3068,50,11,INR,81,
111742,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,RM,S008,D666,1,G1,C1,255,305,50,UC,3350,3340,25,35,USD,92,
108259,,"RoHS,SCM1G8Z41CD8SA-062E","RoHS,SCM1G8Z41CD8SA-062E",,EA,120,0,RM,S007,D654,1,G1,C1,660,710,50,UC,3223,3322,27,53,INR,93,
1000457,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,RM,S009,D668,1,G1,C1,646,696,50,UC,3056,3052,1,55,INR,79,
137963,,OTCT-325*193*227MM-200PCS SODIMM-Y,OTCT-325*193*227MM-200PCS SODIMM-Y,,EA,120,0,PM,S004,D655,1,G1,C1,552,602,50,UC,3935,3983,27,53,INR,81,
114717,,OTCT-325*193*227MM-200PCS SODIMM-Y,OTCT-325*193*227MM-200PCS SODIMM-Y,,EA,120,0,RM,S007,D668,1,G1,C1,495,545,50,UC,3269,3233,41,40,INR,81,
102671,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,PM,S005,D667,1,G1,C1,315,365,50,UC,3921,3522,44,26,USD,99,1000456-SMT
113854,,"RoHS,SCM1G8Z41CD8SA-062E","RoHS,SCM1G8Z41CD8SA-062E",,EA,120,0,CN,S006,D654,1,G1,C1,303,353,50,UC,2608,2602,10,47,USD,76,
119852,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,CN,S006,D668,1,G1,C1,567,617,50,UC,3386,3376,14,56,USD,96,
114717,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,CN,S008,D655,1,G1,C1,333,383,50,UC,2503,3829,38,5,INR,80,1000457-SMT
107720,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,CN,S003,D668,1,G1,C1,342,392,50,UC,3753,3852,19,32,INR,81,1000456-SMT
119852,,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS","RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",,EA,120,0,RM,S002,D668,1,G1,C1,632,682,50,UC,3083,3034,54,27,INR,77,1000456-SMT
149104,,"RoHS,SCM1G8Z41CD8SA-062E","RoHS,SCM1G8Z41CD8SA-062E",,EA,120,0,RM,S010,D667,1,G1,C1,343,393,50,UC,3281,3281,4,41,USD,87,1000457-SMT
138531,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,PM,S005,D654,1,G1,C1,282,332,50,UC,2706,2766,22,6,INR,94,1000456-SMT
100107,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,CN,S009,D666,1,G1,C1,730,780,50,UC,3731,3839,7,53,USD,93,1000457-SMT
108259,,OTCT-325*193*227MM-200PCS SODIMM-Y,OTCT-325*193*227MM-200PCS SODIMM-Y,,EA,120,0,RM,S003,D668,1,G1,C1,560,610,50,UC,3359,3359,35,36,USD,92,
1000457,,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS","RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",,EA,120,0,RM,S009,D667,1,G1,C1,515,565,50,UC,2520,2720,34,18,INR,75,1000457-SMT
108259,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,PM,S004,D668,1,G1,C1,270,320,50,UC,3025,3747,9,2,INR,98,1000457-SMT
EII-CNS-OT-0008,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,CN,S004,D654,1,G1,C1,273,323,50,UC,2528,2920,27,38,INR,97,
114717,,OTCT-325*193*227MM-200PCS SODIMM-Y,OTCT-325*193*227MM-200PCS SODIMM-Y,,EA,120,0,CN,S010,D667,1,G1,C1,571,621,50,UC,3932,3932,25,2,USD,96,1000456-SMT
138531,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,RM,S002,D655,1,G1,C1,459,509,50,UC,3103,3102,30,52,USD,76,1000456-SMT
108259,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,RM,S001,D666,1,G1,C1,266,316,50,UC,3028,3023,15,40,USD,87,1000457-SMT
EII-CNS-OT-0008,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,CN,S008,D668,1,G1,C1,467,517,50,UC,2731,2561,8,51,INR,77,1000457-SMT
117871,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,RM,S004,D668,1,G1,C1,347,397,50,UC,3649,3641,17,26,USD,96,1000456-SMT
119852,,"RoHS,Security Tape","RoHS,Security Tape",,EA,120,0,CN,S008,D667,1,G1,C1,509,559,50,UC,3732,3062,17,15,USD,96,1000456-SMT
118475,,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS","RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",,EA,120,0,PM,S010,D655,1,G1,C1,540,590,50,UC,2842,2836,17,16,INR,94,1000457-SMT
145340,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,PM,S002,D654,1,G1,C1,591,641,50,UC,3384,3487,33,28,USD,95,1000457-SMT
125880,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,CN,S002,D666,1,G1,C1,657,707,50,UC,2629,2609,4,17,INR,84,1000456-SMT
121225,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,CN,S007,D667,1,G1,C1,565,615,50,UC,3282,3231,3,38,USD,84,1000456-SMT
108259,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,CN,S010,D655,1,G1,C1,678,728,50,UC,3428,3420,38,41,USD,77,1000456-SMT
119852,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,RM,S010,D666,1,G1,C1,623,673,50,UC,2716,2766,45,4,USD,82,
147831,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,CN,S001,D654,1,G1,C1,570,620,50,UC,3071,3087,40,28,USD,92,1000457-SMT
119852,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,CN,S003,D667,1,G1,C1,461,511,50,UC,2831,2831,36,4,INR,98,1000457-SMT
119852,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,RM,S004,D655,1,G1,C1,581,631,50,UC,3750,3740,52,39,INR,93,1000457-SMT
135383,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,RM,S010,D667,1,G1,C1,285,335,50,UC,3043,3045,9,45,USD,90,1000457-SMT
119852,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,CN,S002,D654,1,G1,C1,643,693,50,UC,2762,2763,49,27,INR,89,
138531,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,CN,S008,D655,1,G1,C1,589,639,50,UC,2889,2889,22,49,USD,98,
113014,,"RoHS,SCM1G8Z41CD8SA-062E","RoHS,SCM1G8Z41CD8SA-062E",,EA,120,0,PM,S005,D654,1,G1,C1,590,640,50,UC,3167,3389,15,48,INR,75,
1000457,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,PM,S007,D668,1,G1,C1,419,469,50,UC,3946,3528,48,31,INR,85,1000456-SMT
111742,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,,EA,120,0,RM,S002,D654,1,G1,C1,519,569,50,UC,3803,3804,37,17,USD,80,1000456-SMT
149611,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,RM,S002,D666,1,G1,C1,633,683,50,UC,3308,3338,48,34,INR,88,1000457-SMT
138531,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,PM,S003,D667,1,G1,C1,650,700,50,UC,2725,2725,40,16,INR,89,1000457-SMT
119852,,OTCT-650*478*228MM-1000PCS SODIMM-Y,OTCT-650*478*228MM-1000PCS SODIMM-Y,,EA,120,0,RM,S004,D668,1,G1,C1,569,619,50,UC,3606,3662,2,37,INR,76,
119852,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,RM,S007,D655,1,G1,C1,259,309,50,UC,3328,3338,8,3,INR,99,1000456-SMT
138531,,OTCT-325*193*227MM-200PCS SODIMM-Y,OTCT-325*193*227MM-200PCS SODIMM-Y,,EA,120,0,CN,S008,D667,1,G1,C1,484,534,50,UC,3858,3858,17,38,INR,83,1000457-SMT
700536-2,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,RM,S002,D668,1,G1,C1,450,500,50,UC,3541,3549,49,8,INR,77,
125880,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,PM,S008,D668,1,G1,C1,442,492,50,UC,2832,2702,29,57,INR,84,1000456-SMT
126928,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,RM,S008,D668,1,G1,C1,441,491,50,UC,2456,2556,13,41,INR,82,1000456-SMT
138872,,STATIC SHIELDED BAGS OF SIZE 280x220,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,RM,S009,D654,1,G1,C1,607,657,50,UC,3396,3392,41,27,USD,96,1000456-SMT
102671,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,CN,S006,D666,1,G1,C1,700,750,50,UC,3505,3900,26,23,INR,91,1000456-SMT
140150,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,CN,S002,D655,1,G1,C1,380,430,50,UC,2850,2850,23,1,INR,85,1000457-SMT
142828,,_RARE_,_RARE_,,EA,120,0,RM,S008,D667,1,G1,C1,658,708,50,UC,2900,2930,4,56,INR,92,
119852,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,,EA,120,0,PM,S007,D667,1,G1,C1,296,346,50,UC,3682,3689,52,6,INR,99,1000457-SMT
145340,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,CN,S009,D666,1,G1,C1,286,336,50,UC,2645,2658,10,37,USD,83,1000456-SMT
121793,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,PM,S002,D667,1,G1,C1,328,378,50,UC,2995,2995,33,44,USD,79,
114717,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,PM,S006,D666,1,G1,C1,712,762,50,UC,3279,3271,24,47,INR,78,
111742,,"RoHS,SCM1G8Z41CD8SA-062E","RoHS,SCM1G8Z41CD8SA-062E",,EA,120,0,PM,S008,D667,1,G1,C1,651,701,50,UC,3763,3202,6,43,USD,91,1000456-SMT
125909,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,RM,S004,D655,1,G1,C1,322,372,50,UC,3972,3990,10,39,USD,82,1000457-SMT
119370,,OTCT-325*193*227MM-200PCS SODIMM-Y,OTCT-325*193*227MM-200PCS SODIMM-Y,,EA,120,0,CN,S007,D667,1,G1,C1,277,327,50,UC,2841,2849,42,55,INR,78,
117232,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,PM,S003,D654,1,G1,C1,697,747,50,UC,3261,3237,40,9,INR,92,1000456-SMT
1000457,,STATIC SHIELDED BAGS OF SIZE 280x220,STATIC SHIELDED BAGS OF SIZE 280x221,,EA,120,0,PM,S007,D667,1,G1,C1,736,786,50,UC,3148,3178,13,19,USD,76,
1000457,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,PM,S002,D654,1,G1,C1,474,524,50,UC,3300,3460,1,3,INR,82,1000456-SMT
120768,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,PM,S001,D666,1,G1,C1,488,538,50,UC,3612,3601,4,26,INR,78,1000456-SMT
138531,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,RM,S010,D654,1,G1,C1,342,392,50,UC,2570,2858,51,18,INR,93,1000457-SMT
137963,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,PM,S008,D654,1,G1,C1,715,765,50,UC,3365,3365,43,53,INR,86,
123546,,"RoHS,Security Tape",OTCT-325*193*227MM-200PCS SODIMM-Y,,EA,120,0,RM,S005,D655,1,G1,C1,595,645,50,UC,3784,3174,42,44,USD,89,1000456-SMT
149244,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,CN,S005,D666,1,G1,C1,320,370,50,UC,3517,3977,9,46,INR,88,1000457-SMT
108259,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,CN,S009,D654,1,G1,C1,258,308,50,UC,3298,3398,50,3,INR,92,1000456-SMT
119852,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,CN,S009,D668,1,G1,C1,322,372,50,UC,2564,2524,43,14,INR,99,1000457-SMT
112048,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,RM,S001,D654,1,G1,C1,392,442,50,UC,2650,2656,1,59,USD,93,1000457-SMT
119852,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,PM,S010,D655,1,G1,C1,365,415,50,UC,3098,3290,30,27,USD,89,1000456-SMT
119852,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,RM,S004,D667,1,G1,C1,495,545,50,UC,3900,3938,52,4,INR,84,
118270,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,CN,S004,D667,1,G1,C1,294,344,50,UC,3588,3588,31,24,USD,91,1000456-SMT
108259,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,PM,S002,D655,1,G1,C1,607,657,50,UC,3129,3122,36,51,INR,80,
EII-CNS-OT-0005,,"RoHS,SCM1G8Z41CD8SA-062E","RoHS,SCM1G8Z41CD8SA-062E",,EA,120,0,CN,S002,D668,1,G1,C1,392,442,50,UC,3172,3171,57,16,USD,94,1000457-SMT
119852,,"RoHS,Label, 4X6 inch","RoHS,Label, 4X6 inch",,EA,120,0,PM,S005,D667,1,G1,C1,629,679,50,UC,3692,3697,50,27,USD,79,1000456-SMT
114717,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,CN,S002,D668,1,G1,C1,698,748,50,UC,2571,2571,18,37,USD,77,1000456-SMT
141305,,"RoHS,SCM1G8Z41CD8SA-062E","RoHS,SCM1G8Z41CD8SA-062E",,EA,120,0,PM,S003,D654,1,G1,C1,373,423,50,UC,3339,3261,30,52,INR,97,1000456-SMT
105449,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,RM,S007,D654,1,G1,C1,539,589,50,UC,3819,3019,17,20,USD,77,1000457-SMT
EII-CNS-LB-0001,,"RoHS,Label, 5 X 2 inch blank","RoHS,Label, 5 X 2 inch blank",,EA,120,0,RM,S003,D655,1,G1,C1,427,477,50,UC,3604,3639,42,31,USD,91,1000456-SMT
139511,,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS","RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",,EA,120,0,PM,S008,D655,1,G1,C1,615,665,50,UC,3489,3391,30,50,USD,87,1000457-SMT
111938,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,RM,S010,D666,1,G1,C1,382,432,50,UC,3276,3296,36,39,USD,90,1000456-SMT
102565,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,PM,S008,D668,1,G1,C1,568,618,50,UC,2595,2975,54,38,USD,99,1000456-SMT
145340,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,PM,S002,D666,1,G1,C1,511,561,50,UC,3855,3243,18,26,USD,99,
108259,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,RM,S003,D654,1,G1,C1,601,651,50,UC,3640,3648,45,16,INR,85,1000457-SMT
119852,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,RM,S007,D667,1,G1,C1,621,671,50,UC,2707,2814,58,28,USD,93,1000456-SMT
103557,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,CN,S010,D655,1,G1,C1,504,554,50,UC,3501,3501,28,59,INR,82,1000456-SMT
112048,,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,INCT-CB-345*293*90-SHIPPER DIMM2-PK TRAY-Y,,EA,120,0,RM,S005,D666,1,G1,C1,465,515,50,UC,3556,3556,38,6,INR,88,
108730,,"RoHS,Label, 5 X 2 inch blank","RoHS,SCM1G8Z41CD8SA-062E",,EA,120,0,PM,S009,D666,1,G1,C1,568,618,50,UC,3214,3283,25,42,INR,79,
119852,,"RoHSLabel, 3.5 X 1 inch blank (outer box labels/","RoHSLabel, 3.5 X 1 inch blank (outer box labels/",,EA,120,0,CN,S004,D668,1,G1,C1,620,670,50,UC,3079,3041,37,17,INR,88,1000457-SMT
102671,,OTCT-486*377*309MM-500PCS DIMM-Y,OTCT-486*377*309MM-500PCS DIMM-Y,,EA,120,0,PM,S005,D654,1,G1,C1,332,382,50,UC,2645,3655,21,31,INR,76,1000456-SMT
131950,,"RoHS,Label, 5 X 2 inch blank","RoHS,Label, 5 X 2 inch blank",,EA,120,0,RM,S007,D655,1,G1,C1,265,315,50,UC,2575,2585,33,28,USD,100,
138872,,"RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS","RoHS,LABEL-CRUCIAL LABEL--*-54*12.8MM-GLOSS",,EA,120,0,RM,S005,D655,1,G1,C1,726,776,50,UC,3019,3064,56,58,INR,99,1000456-SMT
140281,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,RM,S010,D654,1,G1,C1,368,418,50,UC,3688,3688,38,44,USD,87,1000456-SMT
108259,,"RoHS,Security Tape","RoHS,Security Tape",,EA,120,0,CN,S003,D654,1,G1,C1,597,647,50,UC,3451,3151,19,58,USD,84,
1000457,,_RARE_,_RARE_,,_RARE_,120,0,PM,S002,D668,1,G1,C1,690,740,50,UC,2687,2667,27,9,INR,78,1000457-SMT
137963,,FUJI-FILTER 02,FUJI-FILTER 02,,EA,120,0,PM,S009,D668,1,G1,C1,575,625,50,UC,2507,3475,39,27,USD,75,1000457-SMT
108259,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,PM,S005,D666,1,G1,C1,328,378,50,UC,3459,3454,46,4,USD,95,1000457-SMT
1000457,,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,INCT-CB-293*216*90-SHIPPER SODIMM 2-PK TRAY-Y,,EA,120,0,CN,S008,D666,1,G1,C1,378,428,50,UC,2666,2662,54,49,INR,88,
119852,,"ROHS,Attention Tape","ROHS,Attention Tape",,EA,120,0,PM,S005,D668,1,G1,C1,608,658,50,UC,3752,3275,60,30,INR,100,
108259,,"RoHS CARTON,SINGLE OUTPUT  PSU","RoHS CARTON,SINGLE OUTPUT  PSU",,EA,120,0,RM,S006,D654,1,G1,C1,649,699,50,UC,3226,3222,10,52,USD,79,1000456-SMT
102671,,"RoHS,SCM1G8Z41CD8SA-062E","RoHS,SCM1G8Z41CD8SA-062E",,EA,120,0,RM,S001,D667,1,G1,C1,411,461,50,UC,3641,3641,43,3,INR,92,
115132,,"RoHS PCB BOARD, IQ CONTROLLER","RoHS PCB BOARD, IQ CONTROLLER",,EA,120,0,RM,S008,D667,1,G1,C1,622,672,50,UC,2701,2461,59,9,USD,92,1000456-SMT
114717,,"RoHS,DRAM-1","RoHS,DRAM-2",,EA,120,0,RM,S002,D655,1,G1,C1,657,707,50,UC,3196,3191,13,48,USD,96,1000456-SMT
108259,,FUJI-FILTER 02,FUJI-FILTER 03,,EA,120,0,CN,S003,D655,1,G1,C1,387,437,50,UC,2755,2578,29,58,USD,88,
121969,,OTCT-377*192*309MM-200PCS DIMM-Y,OTCT-377*192*309MM-200PCS DIMM-Y,,EA,120,0,RM,S008,D668,1,G1,C1,436,486,50,UC,3383,3386,60,8,INR,92,1000457-SMT
